IDTDOC,IDEPAIS,IDESTGEN,EDAD,IDCODEMUNI,IDCODEDEPTO,IDCOLCALEN,IDCOLGEN,IDCOLNATU,IDCOLBILIN,IDCOLCARAC,IDDESING,IDDESMATH,IDPUESTO
1,1,1,20,15516.0,15.0,1,1,1,0.0,1,3,3,0
1,1,1,19,76001.0,76.0,1,1,1,0.0,1,3,4,4
1,1,1,20,15001.0,15.0,1,1,1,0.0,1,3,4,3
1,1,2,18,15001.0,15.0,1,1,1,0.0,1,3,3,3
3,1,1,16,5001.0,5.0,1,1,1,0.0,1,3,4,2
1,1,1,18,19573.0,19.0,1,1,2,0.0,1,2,3,0
1,1,1,19,19573.0,19.0,1,1,2,0.0,1,4,4,2
1,1,1,20,19573.0,19.0,1,1,2,0.0,1,3,4,0
2,1,2,18,44001.0,44.0,1,1,2,0.0,1,3,4,0
1,1,1,18,11001.0,11.0,1,1,1,0.0,3,3,3,0
3,1,1,16,15696.0,15.0,1,1,1,0.0,3,4,4,1
1,1,2,20,15696.0,15.0,1,1,1,0.0,3,3,3,0
1,1,1,19,15696.0,15.0,1,1,1,0.0,3,3,3,4
5,1,1,21,66001.0,66.0,1,1,2,0.0,1,3,3,4
1,1,1,9,66001.0,66.0,1,1,2,0.0,1,3,3,4
1,1,2,9,66001.0,66.0,1,1,2,0.0,1,3,3,0
1,1,2,26,66001.0,66.0,1,1,2,0.0,1,3,3,0
1,1,2,28,66001.0,66.0,1,1,2,0.0,1,3,4,2
1,1,1,18,73411.0,73.0,1,1,1,0.0,3,3,3,5
1,1,1,19,25473.0,25.0,1,1,1,0.0,3,4,3,2
1,1,2,21,73411.0,73.0,1,1,1,0.0,3,2,3,4
1,1,2,28,63001.0,63.0,1,1,1,0.0,3,3,4,0
1,1,2,38,63001.0,63.0,1,1,1,0.0,3,3,4,1
1,1,2,19,63001.0,63.0,1,1,1,0.0,3,3,3,0
1,1,2,24,63001.0,63.0,1,1,1,0.0,3,2,2,0
1,1,2,19,11001.0,11.0,1,1,2,0.0,1,3,4,2
1,1,2,18,11001.0,11.0,1,1,2,0.0,1,4,3,4
1,1,1,19,11001.0,11.0,1,1,2,0.0,1,4,5,1
